absolute time(s)	TEP (mV)	Va (mV)	Vb (mV)	A ratio	TTL signal	Temp (C)	comment time	comment
3717700464.066370	2.727201	-59.025061	-56.297860	1.141217	-0.000146	-0.000334	0.000000	
3717700464.166103	2.730327	-58.058618	-55.328291	1.141217	-0.000178	-0.000334	0.000000	
3717700464.265836	2.727201	-57.711449	-54.984248	1.141217	-0.000209	-0.000334	0.000000	
3717700464.366592	2.730327	-56.823198	-54.092871	1.141217	-0.000209	-0.000334	0.000000	
3717700464.466329	2.730327	-57.193824	-54.463497	1.141217	-0.000146	-0.000334	0.000000	
3717700464.566034	2.730327	-57.472185	-54.741857	1.141217	-0.000209	-0.000334	0.000000	
3717700464.665768	2.730327	-57.292345	-54.562018	1.141217	-0.000146	-0.000334	0.000000	
3717700464.767524	2.730327	-57.514408	-54.784081	1.141217	-0.000178	-0.000334	0.000000	
3717700464.867256	2.733453	-57.758364	-55.024911	1.141217	-0.000240	-0.000334	0.000000	
3717700464.966993	2.730327	-57.669226	-54.938899	1.141217	-0.000303	-0.000334	0.000000	
3717700465.067692	2.730327	-58.349489	-55.619162	1.141217	-0.000271	-0.000334	0.000000	
3717700465.167426	2.733453	-58.496489	-55.763036	1.141217	-0.000146	-0.000334	0.000000	
3717700465.267159	2.733453	-57.770875	-55.037422	1.141217	-0.000115	-0.000334	0.000000	
3717700465.366891	2.733453	-57.849066	-55.115613	1.141217	-0.000146	-0.000334	0.000000	
3717700465.467623	2.736579	-58.136809	-55.400230	1.141217	-0.000178	-0.000334	0.000000	
3717700465.567364	2.736579	-58.749828	-56.013249	1.141217	-0.000178	-0.000334	0.000000	
3717700465.667096	2.736579	-58.515255	-55.778675	1.141217	-0.000209	-0.000334	0.000000	
3717700465.766829	2.736579	-58.635669	-55.899090	1.141217	-0.000178	-0.000334	0.000000	
3717700465.867559	2.739705	-59.331571	-56.591865	1.141217	-0.000209	-0.000334	0.000000	
