chamber,meas_ID,meas_idx,Va_rail,Eout_rail,circuitValuesKnown,RsolA,RsolB,Ra,Ca,Rb,Cb,Rs,Rsolg,R1g,C1g,R2g,C2g,tau1,tau2,tauMEM12,TER12,TEC12,resnormbest12,RsolAg,RsolBg,Rag,Cag,Rbg,Cbg,Rsg,taua,taub,tauMEMabs,TERabs,TECabs,resnormbestabs,simVSmeasured,rsme_simVSmeasured,RsolAg_sim,RsolBg_sim,Rag_sim,Cag_sim,Rbg_sim,Cbg_sim,Rsg_sim,taua_sim,taub_sim,tauMEMabs_sim,TERabs_sim,TECabs_sim,resnormbestabs_sim,dRsolA,dRsolB,dRa,dCa,dRb,dCb,dRs,dRsolA_sim,dRsolB_sim,dRa_sim,dCa_sim,dRb_sim,dCb_sim,dRs_sim
model,20221110_180135,2,0,0,1,0.4,98.7,9837,9.2e-08,9790,1.01e-06,1000.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.45390896487248e-12,113.780059404341,15528.7785894859,1.04291862515194e-07,18559.7121263039,5.2257599112732e-07,955.271767449522,0.00161952524168355,0.00969885995944098,0.00530001086448315,929.231636909241,8.69408490221794e-08,0.0844335266028967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.399999999994546,15.0800594043407,5691.77858948595,1.22918625151935e-08,8769.71212630388,-4.8742400887268e-07,-45.6282325504784
model,20221212_163216,1,0,0,1,99.2,98.7,99.2,1.07e-06,994,1.01e-06,100.3,199.999999999982,59.0935114310871,5.9260189558449e-07,126.861814796369,7.41893564464915e-06,3.50189268908059e-05,0.000189857132570728,0.000143066378482069,84.684396925243,5.48767986689133e-07,0.156579539176646,99.8652843846497,113.966307873622,55.3520789216353,1.13559256803344e-06,138.865111931819,1.92855055713167e-06,126.861814796369,6.28574094486097e-05,0.000267808388982262,0.000121268628066086,76.7373290148832,7.14734132935605e-07,0.0967932477425186,1,3.1002671712207,92.8828304525677,106.668229142561,67.4663792739805,8.42475188111663e-07,163.551093363043,1.37473252480553e-06,147.08436235258,5.68387505700595e-05,0.000224839007513681,0.000105901572198678,89.8674761947546,5.22358837059493e-07,0.0671343093028813,0.665284384649723,15.2663078736223,-43.8479210783647,6.55925680334436e-08,-855.134888068181,9.18550557131673e-07,26.5618147963693,-6.31716954743233,7.96822914256082,-31.7336207260195,-2.27524811888336e-07,-830.448906636957,3.64732524805534e-07,46.7843623525805
model,20221020_162243,3,1,0,1,0.4,0.28,9837,1.07e-06,98.9,9.2e-08,10029,17.0379638459326,87.5603121307545,1.2919436924549e-07,5946.80628597945,1.08853024045863e-06,1.13122992966711e-05,0.00531342848212753,0.000104745428010575,4968.84728481865,1.15487505713517e-07,0.000255718307309582,1.00790805467793e-09,118.567011102997,26557.6829440331,1.09845653589523e-06,2566.07045646367,0.000159878947269134,5946.80628597945,0.0291724604081065,0.410260643197837,0.376683270332585,4938.42474547607,1.09096103197524e-06,0.961728495284233,1,9.41917198112861,0.403440936855374,0.424323914527884,9809.23299538521,1.07007863697423e-06,98.746835337523,9.20665830053695e-08,10057.0198134934,0.0104966506734644,9.09128371211961e-06,0.000113614437558389,4990.97176283389,8.47729543257856e-08,9.95528985010798e-06,-0.399999998992092,118.287011102997,16720.6829440331,2.84565358952323e-08,2467.17045646367,0.000159786947269134,-4082.19371402055,0.00344093685537417,0.144323914527884,-27.7670046147869,7.86369742293571e-11,-0.153164662477053,6.65830053694933e-11,28.0198134933871
model,20221018_175706,1,0,0,1,0.35,0.28,988,9.2e-08,98.9,2.34e-06,100.3,0.00249217289988957,45.6409127726859,1.43545887205854e-07,98.7854921945883,2.12665904751464e-07,6.55156531684018e-06,9.97244795925378e-06,8.23887054245155e-06,92.5334692965361,8.56999028814924e-08,0.0666297678950071,1.25612931924083e-11,0.155606043867918,1362.93803551055,1.15504168479782e-07,100.025772320026,3.03757983711916e-07,98.7854921945883,0.000157425024481114,3.03836269191584e-05,3.90697022955505e-05,92.5370031009996,8.36834737987462e-08,1.67259394560622,1,1.51282029362742,0.917949923838958,1.37617424471275e-10,999.314835092992,9.28496810099535e-08,103.016698365288,2.22752696998996e-06,99.828020926581,9.27860636668985e-05,0.000229472473968,0.000216698655680821,91.5382446437503,8.9134308654377e-08,7.50077101815926e-05,-0.349999999987439,-0.124393956132082,374.938035510554,2.35041684797815e-08,1.12577232002636,-2.03624201628808e-06,-1.51450780541171,0.567949923838958,-0.279999999862383,11.3148350929919,8.4968100995345e-10,4.11669836528785,-1.12473030010037e-07,-0.471979073419035
model,20221201_123001,2,0,0,1,99.2,0.28,988,1.07e-06,98.9,9.2e-08,1000.9,102.862556335632,427.497177750325,1.29200795863249e-06,823.786636018118,9.6168376661532e-08,0.00055232975594635,8.6452085214484e-06,0.000103109786689371,517.393761446185,8.95061418758084e-08,0.00236236084928395,103.060042116305,5.54355903852636,1258.48737701797,1.0413221697133e-06,91.7924477068511,1.15211817859794e-07,823.786636018118,0.00131049080599316,1.05755747661064e-05,9.89442215464619e-05,511.641430737622,1.03734625561786e-07,0.0210742646946912,1,2.75947856835131,107.099548294152,3.21107189654862,969.366181800457,1.09403451540167e-06,86.3859694002822,1.23922041285447e-07,987.583703531378,0.00106052006095283,1.07051256665052e-05,9.66052877191803e-05,510.26541578048,1.11313486216683e-07,0.00075484121426865,3.86004211630528,5.26355903852636,270.487377017973,-2.86778302866987e-08,-7.10755229314888,2.32118178597937e-08,-177.113363981882,7.89954829415164,2.93107189654862,-18.633818199543,2.40345154016711e-08,-12.5140305997178,3.19220412854474e-08,-13.316296468622
model,20221117_185300,3,0,0,1,0.4,98.7,9837,2.35e-06,994,1.01e-06,10029,199.999982875357,4295.07924404199,2.85073383917502e-06,9820.36424307701,8.75864112948674e-11,0.0122441277429287,7.0603133346728e-08,0.00193489819473824,5101.17612942569,8.75837203583623e-11,5.1699827941094e-05,2.75504158746794,186.871884331046,9770.4613377668,2.39638385241858e-06,890.888469964083,8.58913687647685e-11,9820.36424307701,0.0234137757805044,7.65196301019654e-08,0.0019565825049786,5111.79573033081,8.58882903502601e-11,0.000193685719834323,0,547.097787354514,0.647424567011235,98.5017288923084,8932.13936084736,2.38926819776604e-06,990.07496212869,1.00351766095528e-06,10954.6022359084,0.0213412765128869,0.000993557710165773,0.003023927773465,5206.44088149443,7.06697367018813e-07,0.000143430711068871,2.35504158746794,88.1718843310462,-66.5386622332007,4.63838524185804e-08,-103.111530035917,-1.00991410863124e-06,-208.635756922989,0.247424567011234,-0.198271107691639,-904.860639152643,3.92681977660425e-08,-3.92503787131022,-6.48233904471747e-09,925.602235908404
model,20221122_152415,2,0,0,1,99.2,0.28,99.2,1.07e-06,9790,2.34e-06,1000.9,100.108284955153,809.730901419219,2.87612254642242e-06,4999999.99999974,9.74540507569564e-07,0.00232888530210677,9.52956782088573e-05,0.000335965886786164,907.516142226211,7.27900075109664e-07,0.00191223270657595,36.1152379044527,8.39083922657863,157.141312578359,2.21103263885031e-07,809.104160683816,2.90051768878928e-06,4999999.99999974,3.4744457102253e-05,0.00234682093013641,0.000410759395136067,966.058783276925,2.05442601030134e-07,0.488411891873404,1,2.97174480949771,163.682176978111,2.36673699628732e-12,544.124724005262,3.17796281631641e-06,304.415659302532,1.11156975336016e-05,2076750.88022443,0.00172920814032715,0.00338379239329884,0.00279020678895023,848.193819492381,2.47139449059376e-06,0.677815223183231,-63.0847620955473,8.11083922657863,57.9413125783588,-8.48896736114969e-07,-8980.89583931618,5.60517688789278e-07,4998999.09999974,64.4821769781106,-0.279999999997633,444.924724005262,2.10796281631641e-06,-9485.58434069747,8.77569753360156e-06,2075749.98022443
model,20221214_155749,1,0,0,1,99.2,98.7,988,1.07e-06,994,2.34e-06,100.3,199.99999999999,90.0726083484298,8.31479916711334e-08,70.5107744408948,9.61865681909702e-05,7.4893564887525e-06,0.000326325934063095,0.000314752688804862,93.4652435177728,8.30761768908153e-08,0.0490762808344169,95.364810123403,128.806659386487,1541.92745281844,4.59339543145878e-07,1464.81810381672,2.69423430108995e-07,70.5107744408948,0.00070826825174171,0.000394656318016056,0.000547440924974419,68.8951244015897,1.69817677133522e-07,0.0890930475555914,0,21.8366390355621,103.858367266465,93.8627067392434,928.98073245578,1.28159162992093e-06,934.270590860626,1.69617871842616e-06,100.479430790812,0.00119057393107314,0.00158468989346922,0.00138707245536645,95.3381373670929,7.30012121180406e-07,0.0236878353198013,-3.83518987659703,30.1066593864872,553.927452818442,-6.10660456854122e-07,470.818103816721,-2.070576569891e-06,-29.7892255591052,4.65836726646469,-4.83729326075657,-59.0192675442204,2.1159162992093e-07,-59.7294091393744,-6.43821281573844e-07,0.179430790811537
model,20221018_192722,1,0,0,1,0.35,0.28,988,1.07e-06,994,1.01e-06,10029,2.63326033434138,1321.40791785739,6.24995284737408e-07,2170.0019321781,3.00493350368859e-06,0.000825873717875545,0.000995915871123954,0.000961818968930372,1652.83484291295,5.1738460455286e-07,0.000568671880681783,2.017728446207e-12,36.3100827154018,3308.7466682852,1.06333393345329e-06,3208.6684901115,1.07478610311753e-06,2170.0019321781,0.00351830260958816,0.00344863230268295,0.00348293254488482,1627.96413929194,5.34514674153581e-07,0.573401765866672,1,4.23625855180844,6.8439452617156,3.67005043370567e-11,869.511998747383,1.08216943319825e-06,881.860790192736,1.00933795111778e-06,28668.304269859,0.000940959306843534,0.000890095563144245,0.00091570675311709,1650.53981034173,5.22242802802158e-07,0.00445312415773275,-0.349999999997982,36.0300827154018,2320.7466682852,-6.66606654671362e-09,2214.6684901115,6.47861031175287e-08,-7858.9980678219,6.4939452617156,-0.279999999963299,-118.488001252617,1.21694331982521e-08,-112.139209807264,-6.62048882216815e-10,18639.304269859
model,20221108_173449,1,1,0,1,0.4,98.7,9837,9.2e-08,994,1.01e-06,100.3,51.2339695563442,122.438958106344,3.17037110489168e-08,90.4278945500683,6.45848520124262e-07,3.88176934893395e-06,1.61941580644446e-05,1.41013029820047e-05,147.513193875017,3.02202456450278e-08,0.0540422432029687,35.3511676593235,73.7714979782469,5382.93574384004,2.17720935980476e-07,5906.01005904755,2.16795246481456e-07,90.4278945500683,0.00117197780847162,0.00128039490647317,0.00122367459949764,89.709295765093,1.08628552595267e-07,1.26115074426747,1,1.64212866841765,5.11714701722443e-14,103.610819109654,5515.3957318782,2.0147811682088e-07,6456.53438549342,1.74857384625504e-07,95.663675959317,0.00111123154558074,0.00112897271639202,0.00111940479557566,94.9053194008532,9.36131096619117e-08,0.00137033594784433,34.9511676593235,-24.9285020217531,-4454.06425615996,1.25720935980476e-07,4912.01005904755,-7.93204753518544e-07,-9.87210544993171,-0.399999999999949,4.91081910965387,-4321.6042681218,1.0947811682088e-07,5462.53438549342,-8.35142615374496e-07,-4.63632404068302
model,20221117_183733,1,0,0,1,0.4,98.7,9837,2.35e-06,98.9,2.34e-06,100.3,98.1772155979808,72.659237356494,1.2141549305222e-06,163.785072410848,2.14566589904349e-05,8.82195712843703e-05,0.00059151147829495,0.000453079503235828,100.226971856009,1.14912981936161e-06,0.0462262713431947,20.7831754585075,76.4391471985831,162.905502764193,5.15942758017788e-06,100.882352542158,1.39945085747043e-06,163.785072410848,0.000840499143924321,0.000141179894768757,0.000408625759366641,101.045950717976,1.10085366267672e-06,0.247973149956458,1,1.56066894535779,10.2884610705677,88.6001679599408,169.082019407971,4.58587501038921e-06,92.8564722014076,1.53446957211923e-06,159.068199960153,0.000775389007509157,0.000142485431167395,0.000366848001867356,98.9677484822116,1.14975318303077e-06,0.0703534881084752,20.3831754585075,-22.2608528014169,-9674.09449723581,2.80942758017788e-06,1.98235254215763,-9.40549142529571e-07,63.4850724108477,9.8884610705677,-10.0998320400592,-9667.91798059203,2.23587501038921e-06,-6.04352779859241,-8.05530427880771e-07,58.7681999601526
model,20221201_123708,2,0,0,1,99.2,0.28,988,1.07e-06,98.9,1.01e-06,1000.9,102.404608863271,105.894531521378,8.60678691365076e-07,827.477747859202,1.35342174361124e-06,9.11411668125374e-05,0.000557587186207101,0.000186519029282118,517.877853674405,5.26110395334809e-07,0.00206103392728991,103.216050259706,7.48434790503255,1240.43333998614,1.04718440196247e-06,88.2987790052194,1.37132222072251e-06,827.477747859202,0.0012989624453077,0.000121086077712524,0.000199359977764482,509.920800491058,5.93766097696644e-07,0.160163049116954,1,2.76594589536349,128.699204009866,6.73015483248525e-15,1028.31021747998,1.17065272672237e-06,95.4934256496635,2.39410536929734e-06,880.281652507458,0.00120379416000942,0.000228621323080455,0.00031148508257096,493.623564935931,7.86214913645323e-07,0.395895364247415,4.01605025970561,7.20434790503255,252.433339986144,-2.28155980375283e-08,-10.6012209947806,3.61322220722514e-07,-173.422252140798,29.4992040098656,-0.279999999999993,40.3102174799806,1.00652726722373e-07,-3.40657435033654,1.38410536929734e-06,-120.618347492542
model,20221025_170144,1,0,0,1,0.4,0.3,9837,2.35e-06,98.9,2.34e-06,100.3,2.06938210721724,71.501766065814,1.26760108432647e-06,100.10644423688,2.35277313727462e-05,9.06357161962838e-05,0.00061454774117148,0.0004743675532913,97.6219104790298,1.20279806094425e-06,0.0533720369358606,1.90695952259143,1.13886970246337e-12,3756.96531426254,2.3485868570002e-06,88.6560348944168,2.378381461724e-06,100.10644423688,0.00882355935928264,0.000210857869862837,0.000409413030252871,97.5666592586744,1.18169513000788e-06,0.790406334572873,1,1.59043576607378,0.695952382094643,6.40042766751953e-12,7577.73984150124,2.36128420803925e-06,98.9352065762543,2.327203037789e-06,100.598521406835,0.0178931974203667,0.000230242313288541,0.000457878379856647,99.2972861578976,1.17205987643918e-06,2.98122863062321e-05,1.50695952259143,-0.299999999998861,-6080.03468573746,-1.41314299979589e-09,-10.2439651055832,3.83814617240005e-08,-0.193555763119591,0.295952382094643,-0.2999999999936,-2259.26015849876,1.12842080392491e-08,0.0352065762542821,-1.27969622109996e-08,0.29852140683488
model,20221117_190007,3,0,0,1,0.4,98.7,9837,2.35e-06,994,2.34e-06,10029,100.66163856269,4110.82540370758,3.00897717719434e-06,9916.66823225783,1.92680877707484e-06,0.0123693798191868,0.00210004906853128,0.00425217742373353,5200.73587822776,1.17463027950416e-06,7.63506916467101e-05,9.15234266204851,105.323927633438,9910.03329193675,2.36074976471244e-06,988.760307915647,2.37315299649612e-06,9916.66823225783,0.0233951087622321,0.00234647948754644,0.00425605314559997,5192.28067737925,1.18346756591902e-06,0.00589651551581921,1,5.16486836156712,1.14856727876382,97.8509946514913,8979.44973837409,2.38655629440919e-06,996.511732940333,2.31294602077341e-06,10886.6468275404,0.0214299622934477,0.00230487784735836,0.00421530734318234,5205.71386605153,1.17458733165684e-06,0.000197514764021853,8.75234266204851,6.62392763343797,73.0332919367502,1.07497647124354e-08,-5.2396920843529,3.31529964961171e-08,-112.331767742166,0.748567278763819,-0.849005348508683,-857.550261625913,3.65562944091934e-08,2.51173294033322,-2.70539792265878e-08,857.646827540386
model,20220930_163721,2,0,0,1,0.35,0.28,99.2,9.03e-08,98.9,2.34e-06,1000.9,4.16989174350644e-12,75.0413173702533,2.79327192241299e-06,4999999.58263654,8.85611956429689e-08,0.000209610804831211,8.02785487245519e-06,0.000118312874447339,165.688861299303,8.58396343823352e-08,0.038873604668468,20.7465362406744,19.8945223427465,63.5999972476718,3.91122882854678e-07,62.3343430051825,4.05202279669754e-06,4999999.58263654,2.4875414273059e-05,0.000252580178874163,0.000139872025783745,125.931168440867,3.56692972037986e-07,0.281461633308781,1,1.64714583203645,7.96859261673635e-05,2.7981963960219e-08,94.1721797943392,8.81890583557171e-08,72.4234943161919,3.0901975474943e-06,4998120.02373931,8.30495585936806e-06,0.000223802904516864,0.000130120313158625,166.590121384018,8.5742121913387e-08,0.610601596729175,20.3965362406744,19.6145223427465,-35.6000027523282,3.00822882854678e-07,-36.5656569948175,1.71202279669754e-06,4998998.68263653,-0.349920314073833,-0.279999972018036,-5.0278202056608,-2.11094164428293e-09,-26.4765056838081,7.50197547494297e-07,4997119.12373931
