chamber,meas_ID,meas_idx,Va_rail,Eout_rail,simVSmeasured,rsme_simVSmeasured,circuitValuesKnown,RsolA,RsolB,Ra,Ca,Rb,Cb,Rs,Rsolg,R1g,C1g,R2g,C2g,tau1,tau2,tauMEM12,TER12,TEC12,resnormbest12,RsolAg,RsolBg,Rag,Cag,Rbg,Cbg,Rsg,taua,taub,tauMEMabs,TERabs,TECabs,resnormbestabs,RsolAg_sim,RsolBg_sim,Rag_sim,Cag_sim,Rbg_sim,Cbg_sim,Rsg_sim,taua_sim,taub_sim,tauMEMabs_sim,TERabs_sim,TECabs_sim,resnormbestabs_sim,dRsolA,dRsolB,dRa,dCa,dRb,dCb,dRs,dRsolA_sim,dRsolB_sim,dRa_sim,dCa_sim,dRb_sim,dCb_sim,dRs_sim
model,20220930_172942,3,0,0,1,7.296554106,1,0.35,0.28,99.2,9.03E-08,9790,9.20E-08,10029,24.15673696,4865.287624,9.42E-08,86.57303064,1.62E-07,0.000458351,1.41E-05,2.18E-05,4951.860655,5.96E-08,0.000275309,36.80559174,1.561053486,72.14507801,2.80E-07,10240.31728,9.28E-08,9474.342792,2.02E-05,0.000950502,2.67E-05,4937.826126,6.97E-08,0.006136691,5.662130293,1.86E-14,328.5354185,6.13E-09,4730.341257,1.01E-07,974324.8461,2.01E-06,0.000479555,3.30E-05,5032.745719,5.78E-09,0.762991448,36.45559174,1.281053486,-27.05492199,1.90E-07,450.317283,8.20E-10,-554.6572082,5.312130293,-0.28,229.3354185,-8.42E-08,-5059.658743,9.38E-09,964295.8461
model,20221003_184556,1,0,0,1,1.483972318,1,0.35,0.28,99.2,9.03E-08,9790,1.01E-06,100.3,0.028355056,47.43692014,4.17E-06,52.4457846,8.31E-08,0.000197929,4.36E-06,0.000105998,99.88270474,8.15E-08,0.094150219,18.93059468,16.21468266,24.57158848,1.20E-06,799.6536508,2.53E-06,70.91203676,2.94E-05,0.002019977,8.87E-05,65.29444369,8.12E-07,0.205764468,0.000387707,2.81E-09,77.74610151,8.13E-08,189.6454845,1.95E-06,160.1043558,6.32E-06,0.000370591,0.000112236,100.1426059,7.81E-08,0.270795557,18.58059468,15.93468266,-74.62841152,1.11E-06,-8990.346349,1.52E-06,-29.38796324,-0.349612293,-0.279999997,-21.45389849,-8.98E-09,-9600.354516,9.44E-07,59.8043558
model,20221003_184556,2,0,0,1,2.503932551,1,0.35,0.28,99.2,9.03E-08,9790,1.01E-06,1000.9,8.960847616,813.8857607,1.23E-06,85.30241894,1.08E-07,0.001000354,9.24E-06,0.000103263,899.1881797,9.95E-08,0.000695238,19.83524114,21.45519425,71.6992768,4.19E-07,4136.778782,1.13E-06,1097.831661,3.01E-05,0.004657076,0.000108892,870.6993564,3.06E-07,0.02585919,104.4782666,5.68E-08,4888.810772,1.90E-06,5105.427189,3.58E-06,886.0512228,0.009305463,0.018280225,0.013695584,813.8944302,1.24E-06,0.589899106,19.48524114,21.17519425,-27.5007232,3.29E-07,-5653.221218,1.16E-07,96.93166115,104.1282666,-0.279999943,4789.610772,1.81E-06,-4684.572811,2.57E-06,-114.8487772
model,20221003_184556,3,0,0,1,6.052333954,1,0.35,0.28,99.2,9.03E-08,9790,1.01E-06,10029,13.61070461,4872.071986,1.03E-06,89.04163422,1.20E-07,0.005039012,1.07E-05,0.000100913,4961.113621,1.07E-07,7.51E-05,4.6773614,24.37351823,96.8696859,2.81E-07,8618.948379,1.02E-06,11479.78938,2.72E-05,0.008830474,0.000125083,4954.332565,2.21E-07,0.00412566,199.9941396,7.41E-15,17786.96923,1.37E-06,7659.93011,4.70E-06,5968.747849,0.024319333,0.035994126,0.032479824,4834.728529,1.06E-06,0.607787767,4.3273614,24.09351823,-2.330314096,1.91E-07,-1171.051621,1.45E-08,1450.789375,199.6441396,-0.28,17687.76923,1.28E-06,-2130.06989,3.69E-06,-4060.252151
model,20221003_185757,2,0,0,1,2.346808388,1,0.35,0.28,99.2,9.03E-08,9790,2.34E-06,1000.9,7.113496153,815.2265219,2.85E-06,85.27069172,1.06E-07,0.002320152,9.06E-06,0.000227905,900.4972136,1.02E-07,0.000568829,20.07550093,18.6747248,69.00932668,4.77E-07,2534.86746,2.65E-06,1312.001426,3.29E-05,0.006719969,0.000210149,872.4198946,4.04E-07,0.038312953,95.58902431,1.10E-07,4613.28092,4.12E-06,3465.839053,9.09E-06,911.2066779,0.019024052,0.031498122,0.026146906,818.8521237,2.84E-06,0.473510856,19.72550093,18.3947248,-30.19067332,3.87E-07,-7255.13254,3.11E-07,311.1014261,95.23902431,-0.27999989,4514.08092,4.03E-06,-6324.160947,6.75E-06,-89.6933221
model,20221003_185757,3,0,0,1,6.901930202,1,0.35,0.28,99.2,9.03E-08,9790,2.34E-06,10029,8.833372514,91.6968326,1.10E-07,4872.747781,2.40E-06,1.00E-05,0.011687294,0.000225737,4964.444613,1.05E-07,4.00E-05,3.873002156,21.49380697,95.13357963,2.97E-07,6410.882188,2.39E-06,20825.22688,2.83E-05,0.015327962,0.000252005,4957.30312,2.64E-07,0.029350343,152.4050093,3.76E-09,15416.42533,3.26E-06,6954.453516,9.40E-06,6214.152774,0.050240172,0.065352967,0.06065484,4863.246635,2.42E-06,0.507974898,3.523002156,21.21380697,-4.066420374,2.07E-07,-3379.117812,5.09E-08,10796.22688,152.0550093,-0.279999996,15317.22533,3.17E-06,-2835.546484,7.06E-06,-3814.847226
model,20221003_190933,1,0,0,1,1.421292189,1,0.35,0.28,99.2,1.07E-06,98.9,1.01E-06,100.3,1.83E-05,65.70459803,5.29E-07,1.493566537,9.56E-06,3.48E-05,1.43E-05,1.47E-05,67.19816457,5.01E-07,0.078802786,1.66E-08,1.06E-06,73.17025975,1.30E-06,64.08517533,7.67E-07,132.33313,9.53E-05,4.91E-05,7.07E-05,67.37467269,4.83E-07,0.384974589,1.87E-14,0.633698036,97.95030851,1.07E-06,96.82167782,1.01E-06,101.1672772,0.000104388,9.82E-05,0.000101266,66.58309309,5.20E-07,5.81E-06,-0.349999983,-0.279998936,-26.02974025,2.32E-07,-34.81482467,-2.43E-07,32.03312999,-0.35,0.353698036,-1.249691492,-4.28E-09,-2.078322176,4.03E-09,0.867277205
model,20221003_190933,2,0,0,1,1.58697002,1,0.35,0.28,99.2,1.07E-06,98.9,1.01E-06,1000.9,4.31E-14,1.294279473,8.39E-06,164.5556454,5.17E-07,1.09E-05,8.51E-05,1.14E-05,165.8499249,4.87E-07,0.01362961,5.08E-10,6.22E-06,86.39082949,1.30E-06,80.16492157,7.33E-07,4984357.079,0.000112686,5.88E-05,8.47E-05,166.5501857,4.69E-07,0.299056394,2.41E-13,0.646856222,95.13070456,1.07E-06,94.12186898,1.01E-06,1309.528792,0.000101538,9.53E-05,9.84E-05,165.3554679,5.20E-07,5.33E-05,-0.349999999,-0.279993777,-12.80917051,2.34E-07,-18.73507843,-2.77E-07,4983356.179,-0.35,0.366856222,-4.069295443,-2.65E-09,-4.778131016,2.62E-09,308.6287923
model,20221003_190933,3,0,0,1,1.72371648,1,0.35,0.28,99.2,1.07E-06,98.9,1.01E-06,10029,0.712222681,128.074828,8.14E-07,66.16112568,1.39E-06,0.00010423,9.20E-05,9.62E-05,194.2359537,5.13E-07,0.012445079,1.88E-08,1.10E-06,101.3079469,1.29E-06,94.46123575,7.48E-07,4986843.933,0.000130722,7.07E-05,9.97E-05,195.7614976,4.74E-07,0.274835134,7.69E-12,0.661855141,97.63781087,1.07E-06,96.60953036,1.01E-06,3266469.3,0.0001042,9.79E-05,0.000101014,194.2357906,5.20E-07,7.79E-05,-0.349999981,-0.279998896,2.107946877,2.20E-07,-4.438764248,-2.62E-07,4976814.933,-0.35,0.381855141,-1.562189125,-2.79E-09,-2.290469638,2.96E-09,3256440.3
model,20221003_191824,1,0,0,1,1.530452755,1,0.35,0.28,99.2,1.07E-06,98.9,9.20E-08,100.3,0.009840824,14.94505754,4.91E-06,52.30686319,8.80E-08,7.34E-05,4.60E-06,5.81E-05,67.25192073,8.65E-08,0.204482255,19.02283831,8.451254517,39.8949143,3.35E-06,43.68869265,5.06E-07,76.40975653,0.000133769,2.21E-05,8.05E-05,39.91792483,4.40E-07,0.7342827,3.93E-12,0.050567866,103.7172322,1.06E-06,103.0779281,9.02E-08,99.51461841,0.00011041,9.29E-06,5.97E-05,67.18408257,8.31E-08,0.012719378,18.67283831,8.171254517,-59.3050857,2.28E-06,-55.21130735,4.14E-07,-23.89024347,-0.35,-0.229432134,4.517232232,-5.47E-09,4.177928079,-1.83E-09,-0.785381594
