meas_ID,meas_idx,t,f,w,x,y,Zr,xfit,yfit,Zrfit,xfit_sim,yfit_sim,Zrfit_sim
20221108_171100,2,57.152056855704,13.572,85.2753909890413,1006.18907505345,-4.78669868502446,9.8612340307234,1008.55060842314,-6.35501271074275,9.12051899060716,1008.96879279775,-6.25375263538094,8.35856404317472
20221108_171100,2,68.286261827593,15.1239,95.0262662672533,1006.70346011229,-7.64560875158497,8.63505138302635,1008.5388895308,-7.08157470250947,9.12008353956916,1008.95775763831,-6.96874842837383,8.35828263457125
20221108_171100,2,80.170481797589,16.8534,105.89303525602,1006.35132050349,-7.82787278486292,8.66193539862551,1008.5243366516,-7.89124385853676,9.11954285968641,1008.94405378032,-7.76553252543891,8.35793321191489
20221108_171100,2,72.089332817991,18.1195,113.848176173441,1006.98899420012,-8.29340793357277,8.26725714689935,1008.51268547328,-8.48394127816649,9.11911004716077,1008.93308228942,-8.34880080507591,8.35765349196296
20221108_171100,2,76.097406807872,18.235,114.57388407642,1006.44890947162,-9.14447007311747,7.58654045434993,1008.51158062566,-8.53800877141406,9.11906900761833,1008.93204189241,-8.40200828179004,8.35762696837016
20221108_171100,2,53.128979865862,18.881,118.632821784858,1006.84271611767,-9.06086867493808,8.71709870883456,1008.50527176005,-8.84040794644185,9.11883467429243,1008.92610104339,-8.69959782335808,8.35747551898601
20221108_171100,2,64.593192836917,21.0393,132.193820633343,1005.82483021837,-10.7208729396024,9.7801394038618,1008.48260209552,-9.85067452592401,9.11799277512396,1008.90475367211,-9.69380181951993,8.35693138273883
20221108_171100,2,76.097406807872,23.445,147.309279526825,1006.56251218357,-11.7230494470349,9.59831507064962,1008.45444706779,-10.9766352661994,9.11694744837857,1008.87824067027,-10.8018716248069,8.35625572866474
20221108_171100,2,68.286261827593,25.2065,158.377110445422,1006.24803373228,-12.3851693469612,7.84054270588989,1008.43190182413,-11.8010046501214,9.1161106275832,1008.85701010783,-11.6131503732264,8.35571481307996
20221108_171100,2,72.089332817991,25.3673,159.387446642817,1007.21576973306,-12.2333157703673,8.7735205968932,1008.42976252134,-11.8762542843557,9.11603123278183,1008.85499554605,-11.6872054405574,8.35566349137016
